store_group,store_id,promo_period_int,period_num,period_year,weekly_velocity_amount,weekly_velocity_quantity
baseline_control,40,60,8,2019,62.21,3.75
program_test,34,63,11,2019,56.21,3.75
film_control,38,64,12,2019,56.21,3.75
baseline_control,13,69,4,2020,63.71,3.75
baseline_control,32,69,4,2020,78.71,3.75
baseline_control,28,69,4,2020,67.46,3.75
film_control,9,69,4,2020,63.46,3.75
program_test,36,70,5,2020,62.71,3.75
baseline_control,16,72,7,2020,66.21,3.75
baseline_control,6,50,11,2018,67.96,4
film_control,41,52,13,2018,67.71,4
baseline_control,40,53,1,2019,63.96,4
baseline_control,6,62,10,2019,70.46,4
baseline_control,6,66,1,2020,71.96,4
baseline_control,39,68,3,2020,75.96,4
film_control,33,72,7,2020,58.96,4
film_control,41,72,7,2020,60.46,4
baseline_control,32,46,7,2018,60.21,4.25
baseline_control,3,55,3,2019,68.21,4.25
baseline_control,1,57,5,2019,72.21,4.25
baseline_control,22,59,7,2019,74.71,4.25
baseline_control,3,63,11,2019,76.46,4.25
baseline_control,6,76,11,2020,76.46,4.25
baseline_control,27,67,2,2020,80.95,4.5
baseline_control,28,68,3,2020,80.95,4.5
baseline_control,30,69,4,2020,80.95,4.5
baseline_control,25,70,5,2020,80.95,4.5
film_control,9,75,10,2020,76.45,4.5
program_test,5,63,11,2019,71.2,4.75
baseline_control,1,68,3,2020,80.7,4.75
baseline_control,7,58,6,2019,89.95,5
baseline_control,3,65,13,2019,91.7,5
program_test,11,75,10,2020,84.95,5
baseline_control,12,60,8,2019,94.45,5.25
baseline_control,19,61,9,2019,94.45,5.25
baseline_control,3,61,9,2019,94.45,5.25
baseline_control,13,68,3,2020,85.95,5.25
baseline_control,19,56,4,2019,93.94,5.5
baseline_control,1,60,8,2019,82.44,5.5
baseline_control,19,75,10,2020,98.94,5.5
baseline_control,40,47,8,2018,94.94,5.75
program_test,36,50,11,2018,91.94,5.75
baseline_control,7,45,6,2018,4.75,0.25
baseline_control,25,47,8,2018,4.75,0.25
baseline_control,6,49,10,2018,4.75,0.25
program_test,5,49,10,2018,4,0.25
baseline_control,23,51,12,2018,4.75,0.25
baseline_control,2,52,13,2018,4.75,0.25
baseline_control,23,63,11,2019,4.75,0.25
program_test,36,59,7,2019,119.92,8
